0;-43.08798044160614;-255.0334582893805;0.467656
50;9.497058165298723;-523.2423731243077;24.806256
100;661.7791081889958;-561.243621795424;48.266039
150;794.7540251821209;-635.080540243199;71.549895
200;787.6712007849517;-727.851054557392;94.820372
250;789.624217069118;-774.4450426103139;118.062539
300;1032.1595001893809;-774.0220785041186;140.73779
350;1028.097608670751;-713.1713893678158;163.594859
400;1018.7444827091355;-683.7842488713286;186.306067
450;1035.9936191704937;-671.9284427053676;209.078983
500;1027.8609350412398;-662.6603444765401;232.037829
550;1018.2049188738487;-651.142943634923;255.019483
600;1226.3106990670742;-629.3398911509214;277.696546
650;1215.7122220422661;-600.3055475672555;299.811074
700;1383.695144873385;-569.6702570085746;321.950283
750;1950.5102001526675;-543.3652308253277;343.813562
800;1950.519480867718;-536.16517915945;366.61763
850;1950.9006179758785;-528.9515574141903;389.238545
900;1952.2239051100346;-527.8311661089125;411.951242
950;1949.081949187911;-516.6685000451698;434.472273
1000;1941.5172529848248;-507.6568712268948;457.232561
1050;1945.388461768406;-496.68047644711964;479.877325
1100;1945.7318960462767;-484.3420472449303;502.416735
1150;1944.9277037115753;-472.2785797819812;524.976536
1200;1952.7501995442567;-461.84366620073166;547.626811
1250;1942.5634994619163;-459.8597404298663;570.39879
1300;1949.8577388835217;-450.21956663093925;592.930952
1350;1947.4365643495862;-446.3742780971705;615.857763
1400;1948.8811607466123;-436.5623950913557;638.506872
1450;1946.9707804320826;-432.55222281557207;660.992485
1500;1942.1647488813624;-426.97538625895817;683.725049
1550;1952.0508514610708;-425.1403886548071;706.323293
1600;1907.0043823131082;-423.91493340476467;728.972951
1650;1947.1105591918342;-423.3288481951801;751.626142
1700;1947.3653007247235;-420.89642408843144;774.399037
1750;1944.4252493113156;-416.88159029503834;796.811289
1800;1939.9927750095326;-415.3001001713892;819.257589
1850;1947.8852100651438;-415.32410963738823;841.945118
1900;2053.998308950015;-407.8674571975529;864.032971
1950;2064.1769890583923;-401.92623940386085;886.857091
2000;2068.0393479185645;-399.0431505235791;909.587909
2050;2064.9824595975115;-391.3290681035933;932.217806
2100;2079.21621196212;-385.09089309699556;954.763207
2150;2085.371248672094;-381.8724462182337;977.617542
2200;2066.5974242048983;-373.91398086195454;999.87003
2250;2039.4484776754728;-366.7086225462237;1022.51048
2300;2077.264552569456;-368.4110758556772;1045.26054
2350;2038.9839587634688;-366.11267135859526;1067.805265
2400;2034.7059730650426;-362.0125704237508;1090.33349
2450;2085.239715135052;-358.3517233465491;1113.040402
2500;2036.1947545115572;-348.84240548466073;1135.622144
2550;2073.7070132708914;-344.30921724679996;1158.152166
2600;2084.3727361714778;-344.2580211208199;1181.077745
2650;2084.3240279235933;-344.8481357468831;1203.740848
2700;2078.467572297837;-340.75597857545597;1226.375654
2750;2074.7002797371065;-336.49311774567644;1249.272094
2800;2042.6517926472775;-333.05917461904033;1271.989189
2850;2078.8609483841715;-331.8366464906592;1294.824027
2900;2082.8583978138336;-329.93836133791433;1317.697925
2950;1997.0674152249564;-326.97410451002224;1340.521122
3000;1999.5825792214894;-326.75033800092933;1363.653121
3050;2091.520055420956;-322.2123741157996;1386.502654
3100;2076.7751246070907;-320.4656610690343;1409.204259
3150;2033.4967525809543;-317.19718383508126;1431.785121
3200;2082.5743384262487;-315.461498679459;1454.591379
3250;2074.710830768744;-314.89554187893094;1477.290988
3300;2079.9823741335954;-316.0953413625735;1500.259668
3350;2079.9587140332724;-313.70180604129064;1523.205839
3400;1671.1115830543793;-310.30829992213455;1545.50682
3450;1710.7643725297019;-308.3032436293428;1568.35205
3500;1718.6539133082479;-307.5526423335611;1591.199681
3550;1624.9068607702782;-302.8292179640573;1613.090276
3600;1623.9366364741252;-298.1192075632711;1635.633035
3650;1619.1466219067454;-294.7498150861859;1658.350059
3700;1691.8850864752687;-291.27190496429;1680.866158
3750;1730.3593156768045;-288.2837895990985;1703.421289
3800;1756.2494484942704;-284.36410573486876;1726.2207
3850;1716.487739857182;-283.94110446235527;1749.209378
3900;1730.471375255895;-279.82456206439207;1771.568887
3950;1727.3735756296262;-275.4173397913287;1794.184241
4000;1718.7671404496434;-273.9125697303735;1816.993114
4050;1737.0154609625888;-272.32172175046514;1839.800159
4100;1709.6141133159388;-270.8814449307859;1862.468776
4150;1844.077641892014;-268.38219627015354;1885.110349
4200;1853.2510105683389;-263.1131227256988;1907.34191
4250;1845.0220227025877;-259.5524986878712;1929.535427
4300;1851.1096327455107;-257.7167617061088;1952.016001
4350;1851.6552973565153;-253.35103870733553;1974.173659
4400;1811.9359151894282;-250.01710501461025;1996.493561
4450;1854.1002904009222;-245.93421584320453;2018.675186
4500;1779.0457601183368;-243.01093536516586;2041.012191
4550;1852.1721136162873;-239.8788278469124;2063.285435
4600;1847.0644578934734;-236.94043624883403;2085.056541
4650;1854.2819013813898;-234.691112215464;2107.511064
4700;1943.2972518734803;-232.62741004121943;2129.869905
4750;2022.591718823791;-231.40694799855004;2152.319344
4800;1953.3308639972483;-229.65800197601035;2174.506345
4850;2023.8624035059395;-228.64755455552464;2197.020875
4900;1963.0738288404227;-226.07530101730813;2219.285834
4950;1987.738890316801;-224.16617349861042;2241.672024
5000;2040.9082726811569;-222.29511039129508;2263.948172
